text,date,sentiment
DENISE JULIA FOR SOLFEST OR FLAIR PLEASE LOOK LIKE YOU HAVE PITY,2/11/24,
billie eilish for flair 2025??,2/12/24,
IBALIK SI ZILD FOR FLAIR!!!,2/13/24,
Dionela 4 flair to feel treated right ,2/14/24,
Bugoy na Koykoy for Flair this year?!?!?!?!?,2/15/24,
LEGIT TONEEJAY NG CICS HAHAHAHAHA THANK YOU CICSSG CICS IS THE BEST AKALA KO MAGHIHINTAY PA KO FLAIR EEH,2/16/24,
SPONGECOLA AND DEC AVENUE SA FLAIR 2025 FLS FLS FLS ,2/17/24,
"UDD, EBE DANCEL, DECEMBER AVENUE, RICO BLANCO SA FLAIR PLS PLS PLS PLS",2/18/24,
ALYSON FOR FLAIR 2025 PLSSS,2/19/24,
Sabihin niyo na kelan yung flair kasi may balak ako umamin sa crush ko dun,2/20/24,
"PLS COJ SA FLAIR !!!!!!
Stream Multo??",2/21/24,
"Hindi kinulang ang benta sa flair, sold-out nga ticket eh. Lalo naman hindi sila kulang sa budget, sila pa nga ata ang may pinakamalaking budget sa lahat ng colleges dahil marami cbaa students. Sadyang di lang pinlano ng cbaasg magpa-awarding. Ewan, wala sila masyado ganap ngayong taon. Inuna pa kasi siraan nung eleksyon. Ni wala nga sa luntiang parangal ang pa-flair nila hahahahahah. Back to back best college pa yan dati, ngayon ngangers na.",2/22/24,
michael jackson po sana sa flair,2/23/24,
Ishowspeed sa flair 2025 ,2/24/24,
OLIVIA RODRIGO FOR FLAIR 2025 PLEASE,2/25/24,
"flair 2024 >>>> solfest
comclusion: wag na talaga mag concert ibang colleges. IBIGAY. NIYO. NA. LAGI. SA. CBAA. sila mas may experience, sila mas makaka execute ng maayos (somehow)
cscs graduating gae!",2/26/24,
guys please sa flair or kahit anong concert kunin niyo si Cash G hahahahahahaha partner niyo na si flow g parang awa niyo na ????????????????????????????????,2/27/24,
CEAT SG!! MAY NAKAPASOK NANAMNG WALANG NGA TICKET!!! SHS SILA AND GINAWA RIN NILA YUN NUNG FLAIR BC I SAW THEM NEAR THE ENTRANCE SA OVAL!! STUDENT GOVERNMENTS DO BETTER!!!!,2/28/24,
"Appreciation post for CEAT!!
Thank u po sa pag organize ng chromablast, from the start up until the finish everything went well! Kudos po sa mga project heads and sa mga hosts na yappers dahil antagal umakyat ni zild!
Maraming salamat po! (SOLFEST SOON PLS)",2/29/24,
sabrina carpenter for solfest plssssss,3/1/24,
"Someone mentioned about SOLFEST which is grabe sila, grabe sa mga teaser vids!!! Grabeng effort and he hype is givingg! 
CEATSG IBALIK ANG SOLFEST ????",3/2/24,
