text,date,sentiment,Detected Language
makakabili parin po ba ako ng merch ng cics kahit di ako bumili ng tix sa kaleidoscope? huhu no money na kasi pero gusto ko bumili ng lanyard and keyring nyo po :((,1/6/24,,Tagalog
"hello late na pero nakaka disappoint talaga yung mga nasa registration/claiming ng cisc sg para sa tix ng kaleidoscope, hindi approachable at ang susungit lalo na yung nasa claiming table
nakakaloka di na nga clear yung instructions kase ang hina ng boses nila tapos sila pa magsusungit",1/10/24,,Tagalog
"shout out po sa mga nag iwan ng kalat nila sa kaleidoscope kanina, sana naman lininis niyo kalat niyo after ",1/11/24,,Tagalog
"hala magbabasaan po pala sa CHROMA BLAST ng ceatsg? sana po mas naging malinaw, sana nag CLAChella nalang ako or Kaleidoscopes.",4/5/24,,Tagalog
